#SASDB SASDER2
#Sample description: Merged from concentrations 1.00 and 5.00 mg/ml
#Sample: Merged from con  c= 0.000 mg/ml  Code: tmp
#Parent(s): C:/Users/vives/AppData/Local/Temp/qt_temp.JF2596 C:/Users/vives/AppDa
 1.306260e+000  9.450500e+001  3.249770e+000
 1.308890e+000  1.066230e+002  3.318450e+000
 1.311520e+000  9.819290e+001  3.309150e+000
 1.314150e+000  1.023550e+002  3.287040e+000
 1.316790e+000  1.039810e+002  3.287000e+000
 1.319420e+000  1.015250e+002  3.258600e+000
 1.322050e+000  9.795110e+001  3.259530e+000
 1.324680e+000  1.055090e+002  3.290440e+000
 1.327310e+000  9.895050e+001  3.261290e+000
 1.329940e+000  9.830220e+001  3.235950e+000
 1.332570e+000  9.061530e+001  3.208240e+000
 1.335200e+000  9.234120e+001  3.225010e+000
 1.337830e+000  9.538920e+001  3.229250e+000
 1.340470e+000  1.031660e+002  3.251890e+000
 1.343100e+000  9.696210e+001  3.229870e+000
 1.345730e+000  9.783690e+001  3.250870e+000
 1.348360e+000  9.683860e+001  3.185440e+000
 1.350990e+000  9.456120e+001  3.203670e+000
 1.353620e+000  9.402500e+001  3.178110e+000
 1.356250e+000  9.546740e+001  3.190610e+000
 1.358880e+000  9.180850e+001  3.175750e+000
 1.361510e+000  9.472560e+001  3.183200e+000
 1.364150e+000  9.233910e+001  3.189090e+000
 1.366780e+000  9.565660e+001  3.175020e+000
 1.369410e+000  9.215460e+001  3.159640e+000
 1.372040e+000  9.942390e+001  3.176940e+000
 1.374670e+000  9.157900e+001  3.148670e+000
 1.377300e+000  9.267150e+001  3.140710e+000
 1.379930e+000  9.002450e+001  3.125040e+000
 1.382560e+000  9.137640e+001  3.159880e+000
 1.385190e+000  8.863410e+001  3.138420e+000
 1.387830e+000  9.068490e+001  3.144320e+000
 1.390460e+000  9.088850e+001  3.133710e+000
 1.393090e+000  8.834050e+001  3.120240e+000
 1.395720e+000  9.295170e+001  3.113720e+000
 1.398350e+000  8.933710e+001  3.101630e+000
 1.400980e+000  8.696910e+001  3.102810e+000
 1.403610e+000  8.821960e+001  3.083820e+000
